".\VolumeSampling.exe -i .\Dragon_50k.obj -o Dragon_50k.vtk --viscosity 0.05 -r 0.04 -s "2.5 2.5 2.5""
"id","Points:0","Points:1","Points:2"
318,0.55106,0.74527,-0.37503
319,0.60572,0.75803,-0.40405
320,0.67422,0.75497,-0.41588
321,0.74967,0.75904,-0.40416
322,0.80911,0.77751,-0.38301
323,-0.17314,0.82204,-0.34225
324,-0.11992,0.83749,-0.38213
325,-0.064271,0.81973,-0.36065
326,0.037805,0.82149,-0.34452
327,0.11313,0.80109,-0.37675
328,0.16064,0.82986,-0.33517
329,0.57557,0.81514,-0.35675
330,0.62727,0.8534,-0.37455
331,0.71956,0.82814,-0.34968
332,0.82942,0.83752,-0.38681
333,0.87306,0.82106,-0.35407
334,-0.078319,0.89535,-0.38727
335,-0.0040596,0.88855,-0.40634
336,0.064045,0.89989,-0.41362
337,0.13705,0.90593,-0.39886
338,0.68565,0.88562,-0.39933
339,0.7503,0.88946,-0.41226
340,0.81852,0.89739,-0.39976
341,0.88641,0.8901,-0.36848
342,-0.11676,0.93905,-0.34997
343,-0.069386,0.96738,-0.37522
344,0.026441,0.96148,-0.34946
345,0.11211,0.96255,-0.34739
346,0.19625,0.94128,-0.36344
347,0.24469,0.96213,-0.32656
348,0.64469,0.92819,-0.36056
349,0.68594,0.96714,-0.38192
350,0.78953,0.9707,-0.34377
351,0.9013,0.95156,-0.37074
352,0.94414,0.95326,-0.32683
353,-0.050986,1.0288,-0.37295
354,0.00019161,1.0189,-0.40089
355,0.071912,1.0189,-0.41518
356,0.14033,1.029,-0.416
357,0.21601,1.0308,-0.39978
358,0.71126,1.0304,-0.39764
359,0.76548,1.0286,-0.41234
360,0.82445,1.0314,-0.40652
361,0.88672,1.0193,-0.38964
362,-0.03537,1.1022,-0.35744
363,0.0068216,1.0881,-0.38797
364,0.10904,1.0883,-0.352
365,0.19708,1.087,-0.35275
366,0.28341,1.0723,-0.37101
367,0.33295,1.0929,-0.34463
368,0.63224,1.0975,-0.34864
369,0.68497,1.0954,-0.38397
370,0.79031,1.0809,-0.34771
371,0.89256,1.0777,-0.38647
372,0.936,1.0976,-0.35663
373,0.028112,1.1519,-0.3841
374,0.085339,1.1529,-0.40817
375,0.15837,1.1504,-0.42167
376,0.22337,1.1614,-0.42252
377,0.29935,1.1515,-0.40535
378,0.3555,1.1729,-0.39276
379,0.63191,1.1713,-0.3728
380,0.68786,1.1659,-0.40233
381,0.74952,1.1756,-0.41165
382,0.80987,1.1729,-0.40509
383,0.8836,1.1522,-0.38802
384,-0.50875,1.2217,-0.32837
385,0.035242,1.2265,-0.36044
386,0.080488,1.2188,-0.39387
387,0.17526,1.2219,-0.35749
388,0.2629,1.2244,-0.36398
389,0.35133,1.2295,-0.36148
390,0.4251,1.1962,-0.37818
391,0.47897,1.2302,-0.3915
392,0.54546,1.2281,-0.38498
393,0.60445,1.2249,-0.39136
394,0.70633,1.2232,-0.35097
395,0.79445,1.2223,-0.34484
396,0.86506,1.2147,-0.38772
397,0.91442,1.2348,-0.35273
