".\VolumeSampling.exe -i .\sphere.obj -o sphere.vtk --viscosity 0.05 -r 0.03 -s "0.74 0.74 0.74""
"id","Points:0","Points:1","Points:2"
520,0.23253,0.27913,-0.5437
521,0.3092,0.27351,-0.56564
522,0.34517,0.29085,-0.53955
523,0.38463,0.26717,-0.52885
524,-0.30209,0.32055,-0.54681
525,-0.25655,0.32372,-0.56873
526,-0.21785,0.34618,-0.57336
527,-0.15331,0.31135,-0.56752
528,-0.092075,0.32282,-0.56162
529,-0.029287,0.32232,-0.57074
530,0.029069,0.32216,-0.57087
531,0.090433,0.32307,-0.5593
532,0.15144,0.32925,-0.58896
533,0.22744,0.34186,-0.57163
534,0.26406,0.32063,-0.56655
535,0.30671,0.32153,-0.54388
536,-0.27895,0.36949,-0.52662
537,-0.23366,0.37955,-0.54286
538,-0.18235,0.38318,-0.56567
539,-0.12494,0.3925,-0.5694
540,-0.061728,0.37319,-0.53696
541,0.00074339,0.37581,-0.5414
542,0.06239,0.37512,-0.53626
543,0.13089,0.38651,-0.57213
544,0.18128,0.39228,-0.56009
545,0.2333,0.37897,-0.54344
546,0.2793,0.36924,-0.52661
547,-0.19724,0.41436,-0.53757
548,-0.14658,0.42259,-0.54615
549,-0.072725,0.40746,-0.56886
550,-0.020442,0.41015,-0.57533
551,0.025471,0.40919,-0.57517
552,0.080336,0.4063,-0.56831
553,0.14133,0.42325,-0.54646
554,0.2014,0.41701,-0.53329
555,-0.11581,0.46432,-0.51549
556,-0.053638,0.47383,-0.51724
557,0.00042546,0.45332,-0.54333
558,0.052923,0.4743,-0.51695
559,0.11768,0.46604,-0.5137
560,-0.16228,-0.49982,-0.47532
561,-0.11184,-0.50693,-0.47776
562,-0.055799,-0.49938,-0.49418
563,-1.8405e-05,-0.50931,-0.49286
564,0.056199,-0.4994,-0.4941
565,0.11274,-0.50624,-0.47836
566,0.16256,-0.49962,-0.47542
567,-0.19066,-0.45661,-0.50195
568,-0.1444,-0.45988,-0.51502
569,-0.091399,-0.47038,-0.51421
570,-0.024928,-0.4742,-0.52148
571,0.025639,-0.47426,-0.52132
572,0.092156,-0.47018,-0.51426
573,0.1452,-0.4599,-0.51487
574,0.19128,-0.45771,-0.5006
575,-0.32844,-0.41073,-0.4744
576,-0.28517,-0.42217,-0.4857
577,-0.23851,-0.43669,-0.49678
578,-0.1761,-0.40936,-0.48682
579,-0.11408,-0.41367,-0.49336
580,-0.05663,-0.42146,-0.49528
581,0.0011339,-0.42216,-0.49847
582,0.058415,-0.42129,-0.49508
583,0.11622,-0.41352,-0.49336
584,0.1789,-0.40739,-0.48853
585,0.2405,-0.43764,-0.49485
586,0.28769,-0.42231,-0.48434
587,0.33061,-0.41072,-0.47322
588,-0.35115,-0.36404,-0.49258
589,-0.30448,-0.36705,-0.51527
590,-0.26382,-0.39423,-0.51752
591,-0.2113,-0.37033,-0.52999
592,-0.14537,-0.36757,-0.52233
593,-0.084057,-0.37039,-0.52755
594,-0.027497,-0.3785,-0.5323
595,0.029472,-0.37756,-0.53164
596,0.086648,-0.37074,-0.52702
597,0.15057,-0.36776,-0.52237
598,0.21839,-0.38062,-0.54985
599,0.26418,-0.39574,-0.51631
600,0.30596,-0.36711,-0.51447
601,0.35125,-0.36429,-0.49234
