"id","Points:0","Points:1","Points:2"
399,-0.25364,0.32324,-0.38982
400,-0.19955,0.32395,-0.38748
401,0.3864,0.32815,-0.37155
402,0.4226,0.3246,-0.39472
403,0.4902,0.32968,-0.38815
404,0.5457,0.32527,-0.39766
405,0.60442,0.32817,-0.39545
406,0.66408,0.33217,-0.39995
407,0.72171,0.33254,-0.39815
408,0.77315,0.33006,-0.37809
409,-0.89857,0.38003,-0.40462
410,-0.85673,0.37331,-0.42769
411,-0.8052,0.37713,-0.4197
412,-0.72824,0.37633,-0.41599
413,-0.67665,0.37936,-0.42959
414,-0.63533,0.36653,-0.40858
415,-0.29917,0.37404,-0.41786
416,-0.21217,0.37784,-0.41674
417,0.45376,0.37785,-0.40588
418,0.51529,0.37555,-0.41978
419,0.5738,0.37461,-0.41699
420,0.63364,0.37711,-0.42061
421,0.68977,0.37828,-0.42254
422,0.74295,0.38367,-0.40722
423,-0.94069,0.42319,-0.3905
424,-0.88965,0.42488,-0.39542
425,-0.82484,0.42832,-0.3942
426,-0.76369,0.42881,-0.39127
427,-0.69658,0.44089,-0.40046
428,-0.66031,0.41607,-0.38608
429,-0.36003,0.42479,-0.36634
430,-0.31195,0.42515,-0.39392
431,-0.25052,0.41987,-0.3926
432,-0.19384,0.42239,-0.39081
433,-0.14318,0.42881,-0.37369
434,0.38432,0.41995,-0.37524
435,0.42534,0.42009,-0.40161
436,0.47929,0.424,-0.38878
437,0.54465,0.42603,-0.38755
438,0.60217,0.42476,-0.39121
439,0.66175,0.42423,-0.39088
440,0.72548,0.42772,-0.39236
441,0.77617,0.42055,-0.38846
442,-0.95041,0.47834,-0.39947
443,-0.91003,0.46975,-0.42268
444,-0.85174,0.46968,-0.43952
445,-0.79032,0.47605,-0.43178
446,-0.74239,0.46935,-0.41407
447,-0.29164,0.47266,-0.4139
448,-0.22922,0.46517,-0.41355
449,0.42054,0.46799,-0.39632
450,0.46158,0.47289,-0.4165
451,0.51668,0.47282,-0.4252
452,0.57131,0.47309,-0.42356
453,0.62843,0.47093,-0.42973
454,0.68993,0.46684,-0.43772
455,0.7417,0.47018,-0.4109
456,-0.98155,0.5211,-0.37215
457,-0.94301,0.52629,-0.39701
458,-0.88738,0.52262,-0.39321
459,-0.81483,0.52974,-0.39365
460,-0.77077,0.51003,-0.38623
461,-0.30203,0.52062,-0.38007
462,-0.2421,0.52278,-0.40556
463,-0.19147,0.51935,-0.38676
464,-0.13647,0.51746,-0.38991
